Title,,Artist,,Genre,,Subgenre,,Out for the Day,On my Wall,Cubby,Genre,Count,,,,
All This and World War II,,"Beatles, The",,Rock,,,,,,4,,,,,,
Beatles '65,,"Beatles, The",,Rock,,,,,,4,,,,,,
Sgt. Peppers Lonely Hearts Club Band,,"Beatles, The",,Rock,,,,,,4,,,,,,
Combat Rock,,Clash,,Rock,,,,,,4,,,,,,
Moods,,"Diamond, Neil ",,Rock,,,,,,4,,,,,,
Toulouse Street,,Doobie Brothers,,Rock,,,,,,4,,,,,,
Robbie Dupree,,"Dupree, Robbie",,Rock,,,,,,4,,,,,,
Eagles Live,,Eagles,,Rock,,,,,,4,,,,,,
Their Greatest Hits,,Eagles,,Rock,,,,,,4,,,,,,
ELO's Greatest Hits,,ELO,,Rock,,,,,,4,,,,,,
Exile,,Exile,,Rock,,,,,,4,,,,,,
Rumors,,Fleetwood Mac,,Rock,,,,,,4,,,,,,
What Matters Most,,"Folds, Ben",,Rock,,,,,,4,,,,,,
Thanks I'll Eat it Here,,"George, Lowell",,Rock,,,,,,4,,,,,,
From the Mars Hotel,,Grateful Dead,,Rock,,,,,,4,,,,,,
From the Mars Hotel,,Grateful Dead,,Rock,,,,,,4,,,,,,
Wake of the Flood,,Grateful Dead,,Rock,,,,,,4,,,,,,
The Best of Arlo Guthrie,,"Guthrie, Arlo",,Rock,,,,,,4,,,,,,
One Night in Bangkok,,"Head, Murray",,Rock,,,,,,4,,,,,,
2400 Fulton Street,,Jefferson Airplane,,Rock,,,,,,4,,,,,,
Get Born Rarities,,Jet,,Rock,,,,,,4,,,,,,
Aqualung,,Jethro Tull,,Rock,,,,,,4,,,,,,
Stand Up,,Jethro Tull,,Rock,,,,,,4,,,,,,
52nd Street,,"Joel, Billy",,Rock,,,,,,4,,,,,,
The Stranger,,"Joel, Billy",,Rock,,,,,,4,,,,,,
Greatest Hits,,"Joplin, Janis",,Rock,,,,,,4,,,,,,
Captured,,Journey,,Rock,,,,,,4,,,,,,
Departure,,Journey,,Rock,,,,,,4,,,,,,
Escape,,Journey,,Rock,,,,,,4,,,,,,
Infinity,,Journey,,Rock,,,,,,4,,,,,,
Nonagon Infinity,,King Gizzard and the Lizard Wizard,,Rock,,,,,,4,,,,,,
John Lennon/Plastic Ono Band,,"Lennon, John & Yoko Ono",,Rock,,,,,,4,,,,,,
Time Loves a Hero,,Little Feat,,Rock,,,,,,4,,,,,,
Birds of Fire,,Mahavishnu Orchestra,,Rock,,,,,,4,,,,,,
Tribute to Nirvana,,"Malone, Post",,Rock,,,,,,4,,,,,,
Book of Dreams,,"Miller, Steve Band",,Rock,,,,,,4,,,,,,
Dark Side of the Moon,,Pink Floyd,,Rock,,,,,,4,,,,,,
Meddle,,Pink Floyd,,Rock,,,,,,4,,,,,,
